Decimal Year,STemperature °C,Salinity,DTemperature °C,DSalinity
2014.7917,14.854,30.954,7.672,35.062
2014.875,11.809,32.129,8.162,35.123
2014.9583,,,,
2015.0417,6.77,33.165,7.083,34.865
2015.125,5.425,33.284,7.032,35.05
2015.2083,4.598,31.866,6.296,34.975
2015.2917,5.982,29.84,6.747,35.093
2015.375,8.394,30.893,7.104,35.117
2015.4583,12.217,31.379,7.413,35.174
2015.5417,14.659,30.328,7.641,35.195
2015.625,16.377,30.751,7.744,35.162
2015.7083,15.517,32.337,7.841,35.276
2015.7917,14.19,29.135,8.087,35.163
2015.875,10.457,31.496,10.716,34.892
2015.9583,9.681,33.564,10.055,34.675
2016.0417,6.975,33.443,8.842,35.161
2016.125,4.884,31.721,6.92,34.936
2016.2083,3.667,30.615,7.109,35.175
2016.2917,7.228,30.229,7.121,35.158
2016.375,9.694,30.125,6.984,35.064
2016.4583,15.022,26.297,,
2016.5417,15.626,27.53,7.611,35.121
2016.625,15.687,30.305,7.793,35.102
2016.7083,17.226,31.038,7.617,35.088
2016.7917,14.91,32.142,7.871,35.085
2016.875,9.353,33.562,8.139,35.179
2016.9583,6.811,32.37,9.346,35.011
2017.0417,5.55,32.944,7.863,35.039
2017.125,5.411,32.738,8.159,35.085
2017.2083,5.057,32.806,7.974,35.072
2017.2917,6.871,32.006,7.572,35.093
2017.375,8.576,31.856,7.579,35.153
2017.4583,12.649,31.068,7.742,35.123
2017.5417,13.915,31.728,7.987,35.184
2017.625,16.761,30.674,8.096,35.152
2017.7083,15.698,31.081,8.208,35.072
2017.7917,13.967,32.356,8.872,34.928
2017.875,,,,
2017.9583,,,,
2018.0417,5.754,32.253,7.273,34.733
2018.125,4.799,28.884,6.731,34.87
2018.2083,,,,
2018.2917,5.339,26.168,6.296,35.001
2018.375,10.53,30.013,6.206,35.026
2018.4583,12.69,29.76,6.402,35.1
2018.5417,16.308,30.233,6.548,35.178
2018.625,15.84,31.021,6.508,35.116
2018.7083,15.964,31.278,7.476,35.124
2018.7917,12.622,32.137,7.543,35.041
2018.875,10.096,32.736,8.667,35.068
2018.9583,7.859,31.592,8.646,34.954
2019.0417,5.887,32.555,7.886,34.885
2019.125,5.536,33.332,6.311,34.94
2019.2083,5.368,32.727,6.436,34.888
2019.2917,6.559,32.773,7.278,35.001
2019.375,8.149,29.255,7.351,35.023
2019.4583,11.269,27.496,7.787,35.056
2019.5417,13.55,31.151,7.998,35.003
2019.625,16.666,31.828,7.744,35.047
2019.7083,15.829,28.438,,
2019.7917,12.846,33.071,8.037,35.118
2019.875,8.918,31.103,,
2019.9583,7.838,28.551,,
2020.0417,6.294,31.192,7.802,35.119
2020.125,6.248,32.115,7.439,34.978
2020.2083,,,,
2020.2917,6.758,30.582,7.325,35.143
2020.375,,,,
2020.4583,13.073,30.411,7.614,35.05
2020.5417,15.728,29.246,8.013,34.991
2020.625,15.846,30.567,7.954,35.109
2020.7083,,,,
2020.7917,14.265,33.201,8.024,35.102
2020.875,11.238,32.089,,
2020.9583,9.363,32.272,,
2021.0417,5.455,31.798,,
2021.125,,,,
2021.2083,3.935,29.867,,
2021.2917,5.638,31.452,,
2021.375,7.732,31.838,,
2021.4583,,,,
2021.5417,15.631,30.925,7.146,35.067
2021.625,16.841,31.517,7.332,35.045
2021.7083,16.698,31.182,7.445,35.056
2021.7917,14.263,31.405,7.495,34.933
2021.875,10.172,31.661,,
2021.9583,8.697,33.501,8.261,34.972
