Decimal Year,STemperature °C,Salinity,DTemperature °C,DSalinity
1993.5417,12.532,32.137,6.677,35.059
1993.625,14.802,31.937,6.676,35.064
1993.7083,,,,
1993.7917,9.075,34.258,6.764,35.186
1993.875,8.449,29.787,7.796,35.175
1993.9583,5.357,32.026,7.124,35.103
1994.0417,4.574,33.581,6.223,34.616
1994.125,3.624,33.658,6.786,35.014
1994.2083,2.291,28.792,4.249,34.808
1994.2917,5.155,32.475,4.678,34.866
1994.375,8.914,31.466,5.758,35.096
1994.4583,11.163,30.188,6.281,35.128
1994.5417,16,30.39,6.356,35.066
1994.625,17.616,30.493,6.45,35.058
1994.7083,14.48,32.622,6.31,35.042
1994.7917,11.474,32.171,6.754,35.035
1994.875,10.3,33.223,7.757,34.868
1994.9583,8.075,33.129,9.238,34.637
1995.0417,,,,
1995.125,4.337,33.236,6.639,35.003
1995.2083,5.15,33.912,6.152,34.956
1995.2917,6.014,32.915,6.451,35.191
1995.375,7.926,29.053,6.427,35.084
1995.4583,14.234,27.123,6.566,35.174
1995.5417,15.133,29.024,6.889,35.176
1995.625,16.527,29.257,7.023,35.157
1995.7083,14.99,30.789,7.111,35.106
1995.7917,12.548,30.053,7.423,35.106
1995.875,9.411,33.158,8.055,35.148
1995.9583,8.192,33.761,8.254,35.171
1996.0417,7.372,34.287,7.476,35.152
1996.125,4.302,31.908,6.548,35.018
1996.2083,2.758,30.758,5.006,35
1996.2917,4.095,30.216,5.842,35.034
1996.375,6.68,32.427,5.489,35.041
1996.4583,11.549,30.119,5.963,35.083
1996.5417,12.204,31.747,6.461,35.052
1996.625,15.111,30.937,6.678,34.992
1996.7083,15.829,33.242,7.457,35.167
1996.7917,12.395,29.568,7.212,35.008
1996.875,10.524,30.843,8.428,34.671
1996.9583,7.039,33.889,8.04,34.965
1997.0417,4.588,32.564,6.535,34.983
1997.125,5.299,34.136,6.745,35.047
1997.2083,4.906,33.03,6.751,35.139
1997.2917,5.923,32.579,6.748,35.156
1997.375,8.346,33.226,6.835,35.131
1997.4583,12.726,29.421,7.253,35.219
1997.5417,15.658,30.326,7.3,35.171
1997.625,18.58,30.474,7.514,35.166
1997.7083,15.776,31.363,7.541,35.072
1997.7917,12.724,33.029,7.779,35.079
1997.875,9.023,33.598,8.624,35.141
1997.9583,8.029,34.157,7.652,35.2
1998.0417,6.93,34.164,7.693,35.073
1998.125,5.466,33.246,6.771,34.994
1998.2083,4.648,33.311,7.235,35.161
1998.2917,5.707,33.526,6.871,35.088
1998.375,10.044,30.161,6.828,34.965
1998.4583,13.204,28.211,6.752,34.936
1998.5417,13.96,30.665,7.234,35.159
1998.625,15.129,31.398,7.37,35.159
1998.7083,14.354,32.849,7.502,35.187
1998.7917,11.947,33.829,7.276,35.154
1998.875,8.511,33.469,8.148,35.015
1998.9583,6.691,32.469,8.399,35.151
1999.0417,4.562,31.78,6.178,34.886
1999.125,4.034,32.313,6.657,35.009
1999.2083,4.609,33.947,6.587,35.031
1999.2917,5.728,29.986,6.563,35.136
1999.375,7.192,32.867,6.636,35.145
1999.4583,11.669,29.355,6.979,35.084
1999.5417,15.747,30.203,7.168,35.113
1999.625,16.593,31.409,7.309,35.197
1999.7083,16.343,30.816,7.553,35.188
1999.7917,14.777,32.639,8.097,35.141
1999.875,11.655,32.405,8.431,35.228
1999.9583,,,,
2000.0417,6.309,33.878,7.61,35.124
2000.125,5.448,33.464,6.225,34.84
2000.2083,4.353,32.026,6.425,35.097
2000.2917,5.367,31.846,6.912,35.157
2000.375,11.852,25.562,7.049,35.188
2000.4583,11.023,29.599,6.864,35.15
2000.5417,14.674,31.127,6.978,35.197
2000.625,14.546,30.661,7.187,35.15
2000.7083,14.934,29.397,7.367,35.172
2000.7917,13.499,32.433,7.367,35.168
2000.875,10.05,31.23,,
2000.9583,9.898,31.909,8.684,34.853
2001.0417,5.74,32.702,7.492,34.993
2001.125,3.623,30.886,6.683,34.981
2001.2083,3.35,32.601,6.064,34.965
2001.2917,4.548,31.177,5.136,34.979
2001.375,9.207,30.136,6.362,35.099
2001.4583,10.392,31.514,6.636,35.136
2001.5417,13.582,31.066,6.524,35.074
2001.625,17.199,32.28,6.806,35.062
2001.7083,15.888,31.487,6.819,35.035
2001.7917,14.039,30.555,7.105,35.008
2001.875,10.81,30.881,7.188,35.002
